state,year,percent_highschool,percent_college
Alabama,2005,80.9,19.8
Alaska,2005,91.7,28.6
Arizona,2005,85.8,28
Arkansas,2005,81.4,17.5
California,2005,80.4,30.6
Colorado,2005,89.3,35.5
Connecticut,2005,90,36.8
Delaware,2005,86.9,25.6
Florida,2005,86.8,25.4
Georgia,2005,85.7,27.1
Hawaii,2005,87.2,30.4
Idaho,2005,89.1,25.9
Illinois,2005,87.2,29.6
Indiana,2005,87.2,22.6
Iowa,2005,89.8,24.5
Kansas,2005,91.4,30.4
Kentucky,2005,78.9,18.9
Louisiana,2005,80.2,19.6
Maine,2005,87.2,24.3
Maryland,2005,86.9,36.3
Massachusetts,2005,87.5,36.6
Michigan,2005,88.6,24.6
Minnesota,2005,92.7,34.2
Mississippi,2005,79.8,21.8
Missouri,2005,85.5,25
Montana,2005,92.1,25.4
Nebraska,2005,89.8,25.4
Nevada,2005,86.6,23.4
New Hampshire,2005,91.9,32.8
New Jersey,2005,86.9,36.3
New Mexico,2005,81.2,27.4
New York,2005,85.7,30.4
North Carolina,2005,84,25.3
North Dakota,2005,90,27.2
Ohio,2005,87.9,23
Oklahoma,2005,85.2,24
Oregon,2005,88.6,29
Pennsylvania,2005,86.3,26
Rhode Island,2005,83.9,29.2
South Carolina,2005,83,24.2
South Dakota,2005,88.4,25
Tennessee,2005,81.8,21.5
Texas,2005,78.2,25.5
Utah,2005,92.5,29.8
Vermont,2005,90,34.4
Virginia,2005,86,30.6
Washington,2005,91.5,30.9
West Virginia,2005,82.5,15.1
Wisconsin,2005,90.4,25
Wyoming,2005,90.9,21.9
