state,year,percent_highschool,percent_college
Alabama,2000,77.5,20.4
Alaska,2000,90.4,28.1
Arizona,2000,85.1,24.6
Arkansas,2000,81.7,18.4
California,2000,81.2,27.5
Colorado,2000,89.7,34.6
Connecticut,2000,88.2,31.6
Delaware,2000,86.1,24
Florida,2000,84,22.8
Georgia,2000,82.6,23.1
Hawaii,2000,87.4,26.3
Idaho,2000,86.2,20
Illinois,2000,85.5,27.1
Indiana,2000,84.6,17.1
Iowa,2000,89.7,25.5
Kansas,2000,88.1,27.3
Kentucky,2000,78.7,20.5
Louisiana,2000,80.8,22.5
Maine,2000,89.3,24.1
Maryland,2000,85.7,32.3
Massachusetts,2000,85.1,32.7
Michigan,2000,86.2,23
Minnesota,2000,90.8,31.2
Mississippi,2000,80.3,18.7
Missouri,2000,86.6,26.2
Montana,2000,89.6,23.8
Nebraska,2000,90.4,24.6
Nevada,2000,82.8,19.3
New Hampshire,2000,88.1,30.1
New Jersey,2000,87.3,30.1
New Mexico,2000,82.2,23.6
New York,2000,82.5,28.7
North Carolina,2000,79.2,23.2
North Dakota,2000,85.5,22.6
Ohio,2000,87,24.6
Oklahoma,2000,86.1,22.5
Oregon,2000,88.1,27.2
Pennsylvania,2000,85.7,24.3
Rhode Island,2000,81.3,26.4
South Carolina,2000,83,19
South Dakota,2000,91.8,25.7
Tennessee,2000,79.9,22
Texas,2000,79.2,23.9
Utah,2000,90.7,26.4
Vermont,2000,90,28.8
Virginia,2000,86.6,31.9
Washington,2000,91.8,28.6
West Virginia,2000,77.1,15.3
Wisconsin,2000,86.7,23.8
Wyoming,2000,90,20.6
