state,year,percent_highschool,percent_college
Alabama,2004,82.4,22.3
Alaska,2004,90.2,25.5
Arizona,2004,84.4,28
Arkansas,2004,79.2,18.8
California,2004,81.3,31.7
Colorado,2004,88.3,35.5
Connecticut,2004,88.8,34.5
Delaware,2004,86.5,26.9
Florida,2004,85.9,26
Georgia,2004,85.2,27.6
Hawaii,2004,88,26.6
Idaho,2004,87.9,23.8
Illinois,2004,86.8,27.4
Indiana,2004,87.2,21.1
Iowa,2004,89.8,24.3
Kansas,2004,89.6,30
Kentucky,2004,81.8,21
Louisiana,2004,78.7,22.4
Maine,2004,87.1,24.2
Maryland,2004,87.4,35.2
Massachusetts,2004,86.9,36.7
Michigan,2004,87.9,24.4
Minnesota,2004,92.3,32.5
Mississippi,2004,83,20.1
Missouri,2004,87.9,28.1
Montana,2004,91.9,25.5
Nebraska,2004,91.3,24.8
Nevada,2004,86.3,24.5
New Hampshire,2004,90.8,35.4
New Jersey,2004,87.6,34.6
New Mexico,2004,82.9,25.1
New York,2004,85.4,30.6
North Carolina,2004,80.9,23.4
North Dakota,2004,89.5,25.2
Ohio,2004,88.1,24.6
Oklahoma,2004,85.2,22.9
Oregon,2004,87.4,25.9
Pennsylvania,2004,86.5,25.3
Rhode Island,2004,81.1,27.2
South Carolina,2004,83.6,24.9
South Dakota,2004,87.5,25.5
Tennessee,2004,82.9,24.3
Texas,2004,78.3,24.5
Utah,2004,91,30.8
Vermont,2004,90.8,34.2
Virginia,2004,88.4,33.1
Washington,2004,89.7,29.9
West Virginia,2004,80.9,15.3
Wisconsin,2004,88.8,25.6
Wyoming,2004,91.9,22.5
