state,year,percent_highschool,percent_college
Alabama,1998,78.8,20.6
Alaska,1998,90.6,24.2
Arizona,1998,81.9,21.9
Arkansas,1998,76.8,16.2
California,1998,80.1,26.4
Colorado,1998,89.6,34
Connecticut,1998,83.7,31.4
Delaware,1998,85.2,25.1
Florida,1998,81.9,22.5
Georgia,1998,80,20.7
Hawaii,1998,84.6,24
Idaho,1998,82.7,20.3
Illinois,1998,84.2,25.8
Indiana,1998,83.5,17.7
Iowa,1998,87.7,20.3
Kansas,1998,89.2,28.5
Kentucky,1998,77.9,20.1
Louisiana,1998,78.6,19.5
Maine,1998,86.7,19.2
Maryland,1998,84.7,31.8
Massachusetts,1998,85.6,31
Michigan,1998,85.4,22.1
Minnesota,1998,89.4,31
Mississippi,1998,77.3,19.5
Missouri,1998,82.9,22.4
Montana,1998,89.1,23.9
Nebraska,1998,87.7,20.9
Nevada,1998,89.1,20.6
New Hampshire,1998,84,26.6
New Jersey,1998,86.5,30.1
New Mexico,1998,79.6,23.1
New York,1998,81.5,26.8
North Carolina,1998,81.4,23.3
North Dakota,1998,84.3,22.5
Ohio,1998,86.2,21.5
Oklahoma,1998,84.6,20.5
Oregon,1998,85.5,27.7
Pennsylvania,1998,84.1,22.1
Rhode Island,1998,80.7,27.8
South Carolina,1998,78.6,21.3
South Dakota,1998,86.3,21.8
Tennessee,1998,76.9,16.9
Texas,1998,78.3,23.3
Utah,1998,89.3,27.6
Vermont,1998,86.7,27.1
Virginia,1998,82.6,30.3
Washington,1998,92,28.1
West Virginia,1998,76.4,16.3
Wisconsin,1998,88,22.3
Wyoming,1998,90,19.8
