state,year,percent_highschool,percent_college
Alabama,1996,75.7,18
Alaska,1996,91.4,27.2
Arizona,1996,83.5,20.4
Arkansas,1996,76.2,14.6
California,1996,79.8,26.8
Colorado,1996,89.1,30.4
Connecticut,1996,85.3,32.3
Delaware,1996,82.7,27.4
Florida,1996,81.5,20.4
Georgia,1996,76.5,22.4
Hawaii,1996,84.4,23.9
Idaho,1996,85.9,20.3
Illinois,1996,83.2,24.5
Indiana,1996,83.7,16.2
Iowa,1996,87.4,21.3
Kansas,1996,87.7,26.5
Kentucky,1996,74,17.5
Louisiana,1996,74.6,19.2
Maine,1996,84.7,19.7
Maryland,1996,84.6,32.5
Massachusetts,1996,84.9,32.4
Michigan,1996,84.2,21.1
Minnesota,1996,87.9,26.3
Mississippi,1996,75.2,16.9
Missouri,1996,83.9,24.3
Montana,1996,85.6,21.9
Nebraska,1996,87.4,24
Nevada,1996,85.4,19
New Hampshire,1996,86.4,27.6
New Jersey,1996,84.9,28.3
New Mexico,1996,77.1,20.8
New York,1996,81.6,25.6
North Carolina,1996,76,21
North Dakota,1996,80.2,19.9
Ohio,1996,84.9,22.3
Oklahoma,1996,83.8,20.1
Oregon,1996,87.5,22.8
Pennsylvania,1996,81.6,22.3
Rhode Island,1996,78.6,24.5
South Carolina,1996,73.8,18.1
South Dakota,1996,82.4,20.8
Tennessee,1996,79,19.5
Texas,1996,76.4,21.9
Utah,1996,90.7,25.6
Vermont,1996,86.9,27.1
Virginia,1996,82,26.3
Washington,1996,90.2,25.6
West Virginia,1996,74.7,14.2
Wisconsin,1996,88.7,24
Wyoming,1996,90.2,24.2
