state,year,percent_highschool,percent_college
Alabama,1993,76,14.6
Alaska,1993,89.2,23.1
Arizona,1993,83.9,22.4
Arkansas,1993,75,15.8
California,1993,79.7,25
Colorado,1993,88.5,30.2
Connecticut,1993,84.4,28.4
Delaware,1993,82.3,22.1
Florida,1993,79.6,19.8
Georgia,1993,74.7,21.1
Hawaii,1993,86.6,25.1
Idaho,1993,83,19.1
Illinois,1993,79.2,22.1
Indiana,1993,79.2,14.1
Iowa,1993,84.9,18.4
Kansas,1993,87.1,24.1
Kentucky,1993,73.9,17.2
Louisiana,1993,73.7,16.5
Maine,1993,85.2,20.4
Maryland,1993,82.6,26.1
Massachusetts,1993,84.6,30
Michigan,1993,81.5,19.1
Minnesota,1993,86,23.3
Mississippi,1993,71.7,17.5
Missouri,1993,80.3,20.3
Montana,1993,86,21.9
Nebraska,1993,87.5,18.2
Nevada,1993,85,17.6
New Hampshire,1993,86.3,26.4
New Jersey,1993,82.1,27.9
New Mexico,1993,79,22.2
New York,1993,80.7,24.2
North Carolina,1993,74.8,18.5
North Dakota,1993,81.4,20.8
Ohio,1993,82.8,19.5
Oklahoma,1993,79.8,20.5
Oregon,1993,85.4,22.9
Pennsylvania,1993,79.8,18.7
Rhode Island,1993,74.1,20.5
South Carolina,1993,73.3,16.7
South Dakota,1993,80.3,19.4
Tennessee,1993,72,14.9
Texas,1993,77.3,22.1
Utah,1993,90,22.7
Vermont,1993,85.2,23.1
Virginia,1993,80.7,25.8
Washington,1993,88.5,27.9
West Virginia,1993,68.5,12.2
Wisconsin,1993,84.8,20
Wyoming,1993,89,18.4
