state,year,percent_highschool,percent_college
Alabama,1997,77.6,19.3
Alaska,1997,92.1,27.5
Arizona,1997,82.6,19.5
Arkansas,1997,76.9,14.6
California,1997,80.7,27.5
Colorado,1997,87.6,28.9
Connecticut,1997,84,30
Delaware,1997,84.4,26.8
Florida,1997,81.4,21.7
Georgia,1997,78.8,22.3
Hawaii,1997,83.7,22.5
Idaho,1997,85.7,19.4
Illinois,1997,84.4,25
Indiana,1997,81.9,16.2
Iowa,1997,86.7,21.7
Kansas,1997,88.1,27.5
Kentucky,1997,75.4,17.6
Louisiana,1997,75.7,18.1
Maine,1997,85.8,20
Maryland,1997,84.7,32.2
Massachusetts,1997,85.9,33.5
Michigan,1997,86,21
Minnesota,1997,87.9,28.3
Mississippi,1997,77.5,20.9
Missouri,1997,80.1,22.9
Montana,1997,88.6,25.2
Nebraska,1997,86,21.3
Nevada,1997,85.4,19.9
New Hampshire,1997,85.1,27
New Jersey,1997,84.8,28.5
New Mexico,1997,78,23.6
New York,1997,80,25.8
North Carolina,1997,78.4,22.6
North Dakota,1997,82.6,20.5
Ohio,1997,86.2,21.5
Oklahoma,1997,85.2,20.5
Oregon,1997,84.7,24.3
Pennsylvania,1997,82.4,22.9
Rhode Island,1997,77.5,25.7
South Carolina,1997,77.3,19.2
South Dakota,1997,85.6,20.1
Tennessee,1997,76.1,17.1
Texas,1997,78.5,22.4
Utah,1997,89.5,26.7
Vermont,1997,84.4,23.7
Virginia,1997,81.3,28
Washington,1997,88.8,26.1
West Virginia,1997,77.3,14.7
Wisconsin,1997,87.1,22.4
Wyoming,1997,91.3,22.2
