state,year,percent_highschool,percent_college
Alabama,2002,78.9,22.7
Alaska,2002,92.2,25.6
Arizona,2002,84.6,26.3
Arkansas,2002,81,18.3
California,2002,80.2,27.9
Colorado,2002,87.6,35.7
Connecticut,2002,88,32.6
Delaware,2002,88.5,29.5
Florida,2002,83.3,25.7
Georgia,2002,82.9,25
Hawaii,2002,87.9,26.8
Idaho,2002,86.8,20.9
Illinois,2002,85.9,27.3
Indiana,2002,85.3,23.7
Iowa,2002,88.3,23.1
Kansas,2002,87.5,29.1
Kentucky,2002,80.8,21.6
Louisiana,2002,78.8,22.1
Maine,2002,87.4,23.8
Maryland,2002,87.5,37.6
Massachusetts,2002,86.5,34.3
Michigan,2002,86.5,22.5
Minnesota,2002,92.2,30.5
Mississippi,2002,79.1,20.9
Missouri,2002,88.1,26.7
Montana,2002,89.7,23.6
Nebraska,2002,89.8,27.1
Nevada,2002,85.8,22.1
New Hampshire,2002,90.2,30.1
New Jersey,2002,85.9,31.4
New Mexico,2002,81.6,25.4
New York,2002,83.7,28.8
North Carolina,2002,80.1,22.4
North Dakota,2002,89,25.3
Ohio,2002,87.3,24.5
Oklahoma,2002,85.1,20.4
Oregon,2002,87.7,27.1
Pennsylvania,2002,86.1,26.1
Rhode Island,2002,80.1,30.1
South Carolina,2002,80.2,23.3
South Dakota,2002,89.2,23.6
Tennessee,2002,80.1,21.5
Texas,2002,78.1,26.2
Utah,2002,91,26.8
Vermont,2002,87.4,30.8
Virginia,2002,86.7,34.6
Washington,2002,90.4,28.3
West Virginia,2002,78.5,15.9
Wisconsin,2002,86.8,24.7
Wyoming,2002,91.6,19.6
